ticker,name,industry,market_cap,market_cap_num,symbol_url
COO,"The Cooper Companies, Inc.",Medical Instruments & Supplies,13.90B,13900000000,/stocks/coo/
COOK,"Traeger, Inc.","Furnishings, Fixtures & Appliances",125.02M,125020000,/stocks/cook/
COOT,Australian Oilseeds Holdings Limited,Packaged Foods,35.99M,35990000,/stocks/coot/
COP,ConocoPhillips,Oil & Gas Exploration & Production,110.98B,110980000000,/stocks/cop/
COPL,Copley Acquisition Corp,Shell Companies,241.56M,241560000,/stocks/copl/
COR,"Cencora, Inc.",Medical Distribution,65.49B,65489999999,/stocks/cor/
CORT,Corcept Therapeutics Incorporated,Biotechnology,7.74B,7740000000,/stocks/cort/
CORZ,"Core Scientific, Inc.",Software - Infrastructure,6.68B,6680000000,/stocks/corz/
COSM,Cosmos Health Inc.,Medical Distribution,25.05M,25050000,/stocks/cosm/
COSO,"CoastalSouth Bancshares, Inc.",Banks - Regional,254.91M,254910000,/stocks/coso/
COST,Costco Wholesale Corporation,Discount Stores,403.94B,403940000000,/stocks/cost/
COTY,Coty Inc.,Household & Personal Products,3.47B,3470000000,/stocks/coty/
COUR,"Coursera, Inc.",Education & Training Services,1.40B,1400000000,/stocks/cour/
COYA,"Coya Therapeutics, Inc.",Biotechnology,105.70M,105700000,/stocks/coya/
CP,Canadian Pacific Kansas City Limited,Railroads,64.88B,64879999999,/stocks/cp/
CPA,"Copa Holdings, S.A.",Airlines,5.17B,5170000000,/stocks/cpa/
CPAC,Cementos Pacasmayo S.A.A.,Building Materials,610.29M,610290000,/stocks/cpac/
CPAY,"Corpay, Inc.",Software - Infrastructure,18.38B,18380000000,/stocks/cpay/
CPB,The Campbell's Company,Packaged Foods,8.97B,8970000000,/stocks/cpb/
CPBI,"Central Plains Bancshares, Inc.",Banks - Regional,67.76M,67760000,/stocks/cpbi/
CPF,Central Pacific Financial Corp.,Banks - Regional,764.85M,764850000,/stocks/cpf/
CPHC,Canterbury Park Holding Corporation,Resorts & Casinos,79.13M,79130000,/stocks/cphc/
CPHI,"China Pharma Holdings, Inc.",Drug Manufacturers - Specialty & Generic,5.35M,5350000,/stocks/cphi/
CPIX,Cumberland Pharmaceuticals Inc.,Drug Manufacturers - Specialty & Generic,44.73M,44730000,/stocks/cpix/
CPK,Chesapeake Utilities Corporation,Utilities - Regulated Gas,3.00B,3000000000,/stocks/cpk/
CPNG,"Coupang, Inc.",Internet Retail,58.28B,58280000000,/stocks/cpng/
CPOP,"Pop Culture Group Co., Ltd",Entertainment,61.78M,61780000,/stocks/cpop/
CPRI,Capri Holdings Limited,Luxury Goods,2.47B,2470000000,/stocks/cpri/
CPRT,"Copart, Inc.",Specialty Business Services,41.62B,41620000000,/stocks/cprt/
CPRX,"Catalyst Pharmaceuticals, Inc.",Biotechnology,2.60B,2600000000,/stocks/cprx/
CPS,Cooper-Standard Holdings Inc.,Auto Parts,532.99M,532990000,/stocks/cps/
CPSH,CPS Technologies Corporation,"Hardware, Equipment & Parts",71.38M,71380000,/stocks/cpsh/
CPSS,"Consumer Portfolio Services, Inc.",Credit Services,186.68M,186680000,/stocks/cpss/
CPT,Camden Property Trust,REIT - Residential,10.79B,10790000000,/stocks/cpt/
CQP,"Cheniere Energy Partners, L.P.",Oil & Gas Midstream,25.25B,25250000000,/stocks/cqp/
CR,Crane Company,Specialty Industrial Machinery,10.94B,10940000000,/stocks/cr/
CRAI,"CRA International, Inc.",Consulting Services,1.25B,1250000000,/stocks/crai/
CRAQ,Cal Redwood Acquisition Corp.,Shell Companies,316.39M,316390000,/stocks/craq/
CRBG,"Corebridge Financial, Inc.",Asset Management,17.53B,17530000000,/stocks/crbg/
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Biotechnology,148.90M,148900000,/stocks/crbp/
CRBU,"Caribou Biosciences, Inc.",Biotechnology,225.36M,225360000,/stocks/crbu/
CRC,California Resources Corporation,Oil & Gas Exploration & Production,3.95B,3950000000,/stocks/crc/
CRCL,"Circle Internet Group, Inc.",Capital Markets,29.39B,29390000000,/stocks/crcl/
CRCT,"Cricut, Inc.",Computer Hardware,1.13B,1130000000,/stocks/crct/
CRD.A,Crawford & Company,Insurance Brokers,522.48M,522480000,/stocks/crd.a/
CRD.B,Crawford & Company,Insurance Brokers,498.39M,498390000,/stocks/crd.b/
CRDF,"Cardiff Oncology, Inc.",Biotechnology,156.34M,156340000,/stocks/crdf/
CRDL,Cardiol Therapeutics Inc.,Drug Manufacturers - Specialty & Generic,104.54M,104540000,/stocks/crdl/
CRDO,Credo Technology Group Holding Ltd,Semiconductors,32.46B,32460000000,/stocks/crdo/
CRE,Cre8 Enterprise Limited,Specialty Business Services,11.65M,11650000,/stocks/cre/
CREG,Smart Powerr Corp.,Utilities - Renewable,3.45M,3450000,/stocks/creg/
CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",Conglomerates,806.82M,806820000,/stocks/cresy/
CREV,Carbon Revolution Public Limited Company,Auto Parts,8.80M,8800000,/stocks/crev/
CREX,"Creative Realities, Inc.",Software - Application,30.82M,30820000,/stocks/crex/
CRGO,Freightos Limited,Integrated Freight & Logistics,180.62M,180620000,/stocks/crgo/
CRGY,Crescent Energy Company,Oil & Gas Integrated,2.15B,2150000000,/stocks/crgy/
CRH,CRH plc,Building Materials,79.81B,79810000000,/stocks/crh/
CRI,"Carter's, Inc.",Apparel Retail,1.14B,1140000000,/stocks/cri/
CRIS,"Curis, Inc.",Biotechnology,18.62M,18620000,/stocks/cris/
CRK,"Comstock Resources, Inc.",Oil & Gas Exploration & Production,5.50B,5500000000,/stocks/crk/
CRL,"Charles River Laboratories International, Inc.",Diagnostics & Research,8.86B,8860000000,/stocks/crl/
CRM,"Salesforce, Inc.",Software - Application,247.91B,247910000000,/stocks/crm/
CRMD,CorMedix Inc.,Biotechnology,872.03M,872030000,/stocks/crmd/
CRML,Critical Metals Corp.,Other Industrial Metals & Mining,1.36B,1360000000,/stocks/crml/
CRMT,"America's Car-Mart, Inc.",Auto - Dealerships,184.11M,184110000,/stocks/crmt/
CRNC,Cerence Inc.,Software - Application,464.82M,464820000,/stocks/crnc/
CRNG,"CorEnergy Infrastructure Trust, Inc.",-,13.56M,13560000,/stocks/crng/
CRNT,Ceragon Networks Ltd.,Communication Equipment,233.71M,233710000,/stocks/crnt/
CRNX,"Crinetics Pharmaceuticals, Inc.",Biotechnology,4.10B,4099999999,/stocks/crnx/
CRON,Cronos Group Inc.,Drug Manufacturers - Specialty & Generic,964.60M,964600000,/stocks/cron/
CROX,"Crocs, Inc.",Footwear & Accessories,4.28B,4280000000,/stocks/crox/
CRS,Carpenter Technology Corporation,Metal Fabrication,15.74B,15740000000,/stocks/crs/
CRSP,CRISPR Therapeutics AG,Biotechnology,5.82B,5820000000,/stocks/crsp/
CRSR,"Corsair Gaming, Inc.",Computer Hardware,864.20M,864200000,/stocks/crsr/
CRT,Cross Timbers Royalty Trust,Oil & Gas Exploration & Production,44.85M,44850000,/stocks/crt/
CRTO,Criteo S.A.,Advertising Agencies,1.20B,1200000000,/stocks/crto/
CRUS,"Cirrus Logic, Inc.",Semiconductors,6.81B,6810000000,/stocks/crus/
CRVL,CorVel Corporation,Insurance Brokers,3.79B,3790000000,/stocks/crvl/
CRVO,CervoMed Inc.,Biotechnology,65.23M,65230000,/stocks/crvo/
CRVS,"Corvus Pharmaceuticals, Inc.",Biotechnology,599.09M,599090000,/stocks/crvs/
CRWD,"CrowdStrike Holdings, Inc.",Software - Infrastructure,136.27B,136270000000,/stocks/crwd/
CRWS,"Crown Crafts, Inc.","Furnishings, Fixtures & Appliances",30.37M,30370000,/stocks/crws/
CRWV,"CoreWeave, Inc.",Software - Infrastructure,69.32B,69320000000,/stocks/crwv/
CSAI,Cloudastructure Inc.,Software - Infrastructure,27.28M,27280000,/stocks/csai/
CSAN,Cosan S.A.,Oil & Gas Refining & Marketing,2.13B,2130000000,/stocks/csan/
CSBR,"Champions Oncology, Inc.",Biotechnology,94.31M,94310000,/stocks/csbr/
CSCO,"Cisco Systems, Inc.",Communication Equipment,288.11B,288110000000,/stocks/csco/
CSGP,"CoStar Group, Inc.",Real Estate Services,29.16B,29160000000,/stocks/csgp/
CSGS,"CSG Systems International, Inc.",Software - Infrastructure,2.04B,2040000000,/stocks/csgs/
CSIQ,Canadian Solar Inc.,Solar,1.39B,1390000000,/stocks/csiq/
CSL,Carlisle Companies Incorporated,Building Products & Equipment,13.55B,13550000000,/stocks/csl/
CSPI,CSP Inc.,Information Technology Services,131.55M,131550000,/stocks/cspi/
CSR,Centerspace,REIT - Residential,1.05B,1050000000,/stocks/csr/
CSTE,Caesarstone Ltd.,Building Products & Equipment,39.05M,39050000,/stocks/cste/
CSTL,"Castle Biosciences, Inc.",Diagnostics & Research,739.71M,739710000,/stocks/cstl/
CSTM,Constellium SE,Aluminum,2.17B,2170000000,/stocks/cstm/
CSV,"Carriage Services, Inc.",Personal Services,701.72M,701720000,/stocks/csv/
CSW,"CSW Industrials, Inc.",Specialty Industrial Machinery,4.18B,4179999999,/stocks/csw/
CSWC,Capital Southwest Corporation,Asset Management,1.13B,1130000000,/stocks/cswc/
CSX,CSX Corporation,Railroads,67.07B,67069999999,/stocks/csx/
CTAS,Cintas Corporation,Specialty Business Services,73.65B,73650000000,/stocks/ctas/
CTBI,"Community Trust Bancorp, Inc.",Banks - Regional,927.17M,927170000,/stocks/ctbi/
CTEV,Claritev Corporation,Health Information Services,1.07B,1070000000,/stocks/ctev/
CTGO,"Contango Ore, Inc.",Gold,311.38M,311380000,/stocks/ctgo/
CTKB,"Cytek Biosciences, Inc.",Medical Devices,496.17M,496170000,/stocks/ctkb/
